,Month,Route,Service Category,Service Day of the Week,Average Daily Boardings
12920,January 2025,J Church,Muni Metro,Weekday,6700.0
12921,February 2025,J Church,Muni Metro,Weekday,7000.0
12922,March 2025,J Church,Muni Metro,Weekday,7300.0
12923,April 2025,J Church,Muni Metro,Weekday,6400.0
12924,May 2025,J Church,Muni Metro,Weekday,7500.0
12925,June 2025,J Church,Muni Metro,Weekday,6800.0
12926,July 2025,J Church,Muni Metro,Weekday,6700.0
12927,August 2025,J Church,Muni Metro,Weekday,7300.0
12928,September 2025,J Church,Muni Metro,Weekday,7700.0
12929,October 2025,J Church,Muni Metro,Weekday,7400.0
12930,November 2025,J Church,Muni Metro,Weekday,6700.0
12931,December 2025,J Church,Muni Metro,Weekday,6100.0
12959,January 2025,K Ingleside,Muni Metro,Weekday,11800.0
12960,February 2025,K Ingleside,Muni Metro,Weekday,10600.0
12961,March 2025,K Ingleside,Muni Metro,Weekday,6300.0
12962,April 2025,K Ingleside,Muni Metro,Weekday,12500.0
12963,May 2025,K Ingleside,Muni Metro,Weekday,13200.0
12964,June 2025,K Ingleside,Muni Metro,Weekday,11900.0
12965,July 2025,K Ingleside,Muni Metro,Weekday,11700.0
12966,August 2025,K Ingleside,Muni Metro,Weekday,12900.0
12967,September 2025,K Ingleside,Muni Metro,Weekday,14400.0
12968,October 2025,K Ingleside,Muni Metro,Weekday,14200.0
12969,November 2025,K Ingleside,Muni Metro,Weekday,13500.0
12970,December 2025,K Ingleside,Muni Metro,Weekday,12300.0
13020,February 2025,KT Ingleside/Third,Muni Metro,Weekday,3700.0
13021,March 2025,KT Ingleside/Third,Muni Metro,Weekday,11200.0
13041,January 2025,L Taraval,Muni Metro,Weekday,14300.0
13042,February 2025,L Taraval,Muni Metro,Weekday,14800.0
13043,March 2025,L Taraval,Muni Metro,Weekday,15600.0
13044,April 2025,L Taraval,Muni Metro,Weekday,15600.0
13045,May 2025,L Taraval,Muni Metro,Weekday,16100.0
13046,June 2025,L Taraval,Muni Metro,Weekday,15500.0
13047,July 2025,L Taraval,Muni Metro,Weekday,15900.0
13048,August 2025,L Taraval,Muni Metro,Weekday,16300.0
13049,September 2025,L Taraval,Muni Metro,Weekday,16900.0
13050,October 2025,L Taraval,Muni Metro,Weekday,17100.0
13051,November 2025,L Taraval,Muni Metro,Weekday,15600.0
13052,December 2025,L Taraval,Muni Metro,Weekday,14800.0
13112,January 2025,M Ocean View,Muni Metro,Weekday,16500.0
13113,February 2025,M Ocean View,Muni Metro,Weekday,18500.0
13114,March 2025,M Ocean View,Muni Metro,Weekday,18200.0
13115,April 2025,M Ocean View,Muni Metro,Weekday,19200.0
13116,May 2025,M Ocean View,Muni Metro,Weekday,19100.0
13117,June 2025,M Ocean View,Muni Metro,Weekday,16800.0
13118,July 2025,M Ocean View,Muni Metro,Weekday,17200.0
13119,August 2025,M Ocean View,Muni Metro,Weekday,18200.0
13120,September 2025,M Ocean View,Muni Metro,Weekday,21000.0
13121,October 2025,M Ocean View,Muni Metro,Weekday,20800.0
13122,November 2025,M Ocean View,Muni Metro,Weekday,18700.0
13123,December 2025,M Ocean View,Muni Metro,Weekday,16800.0
13186,January 2025,N Judah,Muni Metro,Weekday,28000.0
13187,February 2025,N Judah,Muni Metro,Weekday,28700.0
13188,March 2025,N Judah,Muni Metro,Weekday,29300.0
13189,April 2025,N Judah,Muni Metro,Weekday,31700.0
13190,May 2025,N Judah,Muni Metro,Weekday,32200.0
13191,June 2025,N Judah,Muni Metro,Weekday,33100.0
13192,July 2025,N Judah,Muni Metro,Weekday,33000.0
13193,August 2025,N Judah,Muni Metro,Weekday,34000.0
13194,September 2025,N Judah,Muni Metro,Weekday,33900.0
13195,October 2025,N Judah,Muni Metro,Weekday,33000.0
13196,November 2025,N Judah,Muni Metro,Weekday,30000.0
13197,December 2025,N Judah,Muni Metro,Weekday,26800.0
13275,January 2025,T Third,Muni Metro,Weekday,19300.0
13276,February 2025,T Third,Muni Metro,Weekday,16700.0
13277,March 2025,T Third,Muni Metro,Weekday,10100.0
13278,April 2025,T Third,Muni Metro,Weekday,20700.0
13279,May 2025,T Third,Muni Metro,Weekday,21500.0
13280,June 2025,T Third,Muni Metro,Weekday,21400.0
13281,July 2025,T Third,Muni Metro,Weekday,22100.0
13282,August 2025,T Third,Muni Metro,Weekday,22500.0
13283,September 2025,T Third,Muni Metro,Weekday,22600.0
13284,October 2025,T Third,Muni Metro,Weekday,23100.0
13285,November 2025,T Third,Muni Metro,Weekday,21800.0
13286,December 2025,T Third,Muni Metro,Weekday,21400.0
